pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid



9ds2	G	I	0	D | C	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chai	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Crystal structure of 346-54 Fab in complex with H1 HA from A/California/04/2009(H1N1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Lin, T.H., Wilson, I.A.	3.29	X-RAY DIFFRACTION	0.279	0.244	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9ds2	H	J	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chai	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Crystal structure of 346-54 Fab in complex with H1 HA from A/California/04/2009(H1N1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Lin, T.H., Wilson, I.A.	3.29	X-RAY DIFFRACTION	0.279	0.244	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9ds2	K	L	0	F | E	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chai	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Crystal structure of 346-54 Fab in complex with H1 HA from A/California/04/2009(H1N1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Lin, T.H., Wilson, I.A.	3.29	X-RAY DIFFRACTION	0.279	0.244	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8uzp	H	L	0	M	protein	NA	stem_mimetic_01	IMMUNE SYSTEM	03/19/25	Crystal Structure of the Computationally Designed Influenza Hemagglutinin Epitope Scaffold stem_mimetic_01 bound by Antibody CR9501	Homo sapiens; Mus musculus	homo sapiens	homo sapiens	mus musculus	Harshbarger, W., Malito, E.	2.711	X-RAY DIFFRACTION	0.246	0.199	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8uzp	A	B	0	E	protein	NA	stem_mimetic_01	IMMUNE SYSTEM	03/19/25	Crystal Structure of the Computationally Designed Influenza Hemagglutinin Epitope Scaffold stem_mimetic_01 bound by Antibody CR9501	Homo sapiens; Mus musculus	homo sapiens	homo sapiens	mus musculus	Harshbarger, W., Malito, E.	2.711	X-RAY DIFFRACTION	0.246	0.199	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8veb	G	I	0	E	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.97	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8veb	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.97	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
