pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	species
8veb	G	I	0	E	protein		hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.97	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Influensa A
8ved	H	L	0	A	protein		hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E11 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.98	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV2	Kappa						Influensa A
8vee	H	L	0	A	protein		hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with H7N9 Influenza Hemagglutinin Trimer (A/Shanghai/2/13)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Casner, R.G., Shapiro, L.	3.18	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Influensa A
8vef	H	L	0	A	protein		hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 UCA (unmutated common ancestor) in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	3.04	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Influensa A
9dpc	H	L	0	D	protein		neuraminidase	IMMUNE SYSTEM	03/19/25	Structure of Fab 297 in complex with influenza H1N1 A/Victoria/4897/2022 neuraminidase	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Pholcharee, T., Wu, N.C.	2.65	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						Influensa A
9mer	H	L	0	B	protein		h1h5 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H5:FluA20 Chimeric Influenza HA Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2.0	X-RAY DIFFRACTION	0.215	0.206	False	True	IGHV4	IGKV1	Kappa						Influensa A
9mev	H	L	0	B	protein		h1h3 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H3:FluA20 Chimeric Antigen Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2.06	X-RAY DIFFRACTION	0.209	0.181	False	True	IGHV4	IGKV1	Kappa						Influensa A
8rmx	E	F	0	D	protein		protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with DH patient-derived Fab DH63-A02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.803	X-RAY DIFFRACTION	0.25	0.205	False	True	IGHV2	IGKV4	Kappa						Homo Sapiens
8rmy	E	F	0	D	protein		protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with inhibitor Z-don and DH patient-derived Fab DH63-A02	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.9	X-RAY DIFFRACTION	0.243	0.195	False	True	IGHV2	IGKV4	Kappa						Homo Sapiens
9azr	H	L	0	E	protein		hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Lineage 860 UCA Fab bound to A/Massachusetts/1/1990 hemagglutinin head	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	2.3	X-RAY DIFFRACTION	0.27	0.229	False	True	IGHV1	IGLV3	Lambda						Influensa A
